,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,LABEL
20642,20643,2015,7,9,2,58.0,77.0,7.0,29.0,500.0,75.0,25.7,1003.4,15.7,0.0,E,1.5,Changping,GOOD
20643,20644,2015,7,9,3,63.0,75.0,6.0,24.0,500.0,67.0,24.9,1003.7,15.8,0.0,ESE,2.2,Changping,GOOD
20644,20645,2015,7,9,4,65.0,67.0,6.0,21.0,500.0,64.0,24.4,1003.8,15.9,0.0,E,1.7,Changping,GOOD
20645,20646,2015,7,9,5,72.0,74.0,6.0,18.0,500.0,64.0,23.8,1004.2,15.6,0.0,E,1.1,Changping,GOOD
20646,20647,2015,7,9,6,75.0,83.0,4.0,17.0,500.0,62.0,22.4,1004.7,16.7,0.0,NNW,1.4,Changping,GOOD
20647,20648,2015,7,9,7,74.0,89.0,5.0,45.0,700.0,45.0,23.8,1005.2,16.6,0.0,NW,0.9,Changping,GOOD
20648,20649,2015,7,9,8,83.0,92.0,10.0,30.0,800.0,67.0,25.6,1005.5,16.4,0.0,ESE,1.4,Changping,GOOD
20649,20650,2015,7,9,9,94.0,103.0,17.0,26.0,1000.0,80.0,26.5,1005.7,17.3,0.0,ESE,1.3,Changping,GOOD
20650,20651,2015,7,9,10,88.0,93.0,18.0,23.0,1000.0,97.0,27.5,1005.4,17.9,0.0,SSE,1.7,Changping,GOOD
20651,20652,2015,7,9,11,111.0,118.0,17.0,18.0,1200.0,131.0,28.6,1005.1,17.5,0.0,ESE,2.3,Changping,LIGHTLY_POLLUTED
20652,20653,2015,7,9,12,105.0,105.0,17.0,21.0,1100.0,155.0,29.6,1004.3,17.8,0.0,SE,2.2,Changping,LIGHTLY_POLLUTED
20653,20654,2015,7,9,13,114.0,114.0,20.0,29.0,1200.0,186.0,30.7,1003.6,18.1,0.0,SE,2.7,Changping,LIGHTLY_POLLUTED
20654,20655,2015,7,9,14,113.0,113.0,20.0,17.0,1200.0,251.0,32.0,1002.8,17.1,0.0,SSE,2.5,Changping,LIGHTLY_POLLUTED
20655,20656,2015,7,9,15,91.0,91.0,13.0,16.0,800.0,286.0,32.6,1002.0,16.4,0.0,ESE,2.5,Changping,LIGHTLY_POLLUTED
20656,20657,2015,7,9,16,85.0,100.0,11.0,16.0,1000.0,285.0,32.9,1001.4,17.5,0.0,ESE,2.6,Changping,LIGHTLY_POLLUTED
20657,20658,2015,7,9,17,85.0,85.0,9.0,13.0,900.0,267.0,32.7,1001.2,16.1,0.0,SSE,3.3,Changping,LIGHTLY_POLLUTED
20658,20659,2015,7,9,18,78.0,79.0,8.0,16.0,600.0,252.0,32.4,1001.1,16.3,0.0,ESE,2.6,Changping,LIGHTLY_POLLUTED
20659,20660,2015,7,9,19,82.0,102.0,7.0,20.0,700.0,232.0,31.5,1001.8,15.5,0.0,ESE,3.2,Changping,LIGHTLY_POLLUTED
20660,20661,2015,7,9,20,62.0,62.0,5.0,25.0,500.0,184.0,30.5,1002.1,14.6,0.0,E,2.9,Changping,LIGHTLY_POLLUTED
20661,20662,2015,7,9,21,56.0,65.0,5.0,31.0,500.0,158.0,29.6,1002.6,13.8,0.0,ESE,2.5,Changping,GOOD
20662,20663,2015,7,9,22,43.0,62.0,4.0,34.0,500.0,131.0,28.6,1002.9,13.3,0.0,ESE,1.9,Changping,GOOD
20663,20664,2015,7,9,23,47.0,66.0,4.0,35.0,500.0,104.0,27.8,1002.9,13.3,0.0,E,1.4,Changping,GOOD
20664,20665,2015,7,10,0,38.0,52.0,4.0,32.0,500.0,90.0,27.0,1003.0,12.6,0.0,E,1.2,Changping,GOOD
20665,20666,2015,7,10,1,37.0,59.0,4.0,36.0,500.0,68.0,26.3,1002.8,13.1,0.0,E,2.3,Changping,GOOD
20666,20667,2015,7,10,2,36.0,96.0,8.0,52.0,400.0,43.0,25.8,1002.9,14.3,0.0,E,2.8,Changping,GOOD
20667,20668,2015,7,10,3,40.0,76.0,8.0,47.0,500.0,40.0,25.2,1002.9,14.3,0.0,E,1.8,Changping,GOOD
20668,20669,2015,7,10,4,36.0,63.0,8.0,41.0,500.0,43.0,24.6,1003.0,14.1,0.0,ENE,1.2,Changping,GOOD
20669,20670,2015,7,10,5,37.0,77.0,8.0,41.0,500.0,36.0,24.0,1003.5,15.0,0.0,E,1.0,Changping,GOOD
20670,20671,2015,7,10,6,44.0,89.0,9.0,36.0,500.0,38.0,23.6,1003.9,15.6,0.0,NE,0.8,Changping,GOOD
20671,20672,2015,7,10,7,43.0,82.0,7.0,26.0,500.0,48.0,24.1,1004.1,17.1,0.0,ESE,1.3,Changping,GOOD
20672,20673,2015,7,10,8,46.0,85.0,8.0,26.0,500.0,52.0,24.8,1004.2,18.3,0.0,SE,1.5,Changping,GOOD
20673,20674,2015,7,10,9,60.0,119.0,9.0,25.0,600.0,62.0,26.1,1003.9,19.0,0.0,SE,1.0,Changping,GOOD
20674,20675,2015,7,10,10,57.0,61.0,7.0,26.0,600.0,73.0,26.8,1003.7,18.9,0.0,SSE,1.5,Changping,GOOD
20675,20676,2015,7,10,11,59.0,59.0,7.0,26.0,500.0,92.0,28.2,1003.1,18.3,0.0,E,2.3,Changping,GOOD
20676,20677,2015,7,10,12,45.0,51.0,7.0,17.0,500.0,130.0,29.1,1002.6,18.5,0.0,SSE,2.1,Changping,GOOD
20677,20678,2015,7,10,13,61.0,62.0,7.0,16.0,700.0,169.0,30.0,1001.6,18.1,0.0,ESE,2.4,Changping,GOOD
20678,20679,2015,7,10,14,49.0,49.0,6.0,15.0,600.0,204.0,30.8,1000.7,17.8,0.0,SE,2.5,Changping,GOOD
20679,20680,2015,7,10,15,65.0,65.0,7.0,14.0,500.0,227.0,32.0,999.7,17.9,0.0,SE,2.9,Changping,LIGHTLY_POLLUTED
20680,20681,2015,7,10,16,66.0,74.0,7.0,11.0,500.0,229.0,32.5,998.8,17.9,0.0,SSE,2.2,Changping,LIGHTLY_POLLUTED
20681,20682,2015,7,10,17,74.0,76.0,7.0,11.0,600.0,220.0,32.3,998.5,17.8,0.0,SSE,3.4,Changping,LIGHTLY_POLLUTED
20682,20683,2015,7,10,18,73.0,87.0,7.0,14.0,700.0,225.0,31.9,998.3,17.4,0.0,SSE,2.9,Changping,LIGHTLY_POLLUTED
20683,20684,2015,7,10,19,73.0,82.0,8.0,17.0,800.0,223.0,31.6,998.5,17.1,0.0,SSE,2.8,Changping,LIGHTLY_POLLUTED
20684,20685,2015,7,10,20,72.0,75.0,8.0,24.0,600.0,196.0,31.1,998.6,16.3,0.0,SSE,2.1,Changping,LIGHTLY_POLLUTED
20685,20686,2015,7,10,21,67.0,144.0,7.0,31.0,600.0,161.0,30.1,999.3,18.2,0.0,E,2.6,Changping,LIGHTLY_POLLUTED
20686,20687,2015,7,10,22,43.0,102.0,5.0,22.0,500.0,147.0,28.8,1000.4,19.4,0.0,NE,1.8,Changping,GOOD
20687,20688,2015,7,10,23,56.0,84.0,4.0,18.0,500.0,141.0,25.0,1000.6,18.4,0.0,NNE,2.9,Changping,GOOD
20688,20689,2015,7,11,0,58.0,58.0,2.0,6.0,500.0,145.0,24.2,1000.7,18.6,0.0,NNW,2.1,Changping,GOOD
20689,20690,2015,7,11,1,51.0,51.0,2.0,14.0,500.0,121.0,23.9,1000.4,18.5,0.0,NNW,1.3,Changping,GOOD
20690,20691,2015,7,11,2,52.0,52.0,2.0,16.0,500.0,99.0,24.0,1000.1,18.6,0.0,N,1.1,Changping,GOOD
20691,20692,2015,7,11,3,47.0,47.0,2.0,13.0,500.0,91.0,24.1,1000.3,18.7,0.0,NNW,0.9,Changping,GOOD
20692,20693,2015,7,11,4,51.0,51.0,2.0,19.0,500.0,76.0,23.9,1000.1,18.8,0.0,N,1.4,Changping,GOOD
20693,20694,2015,7,11,5,54.0,54.0,2.0,21.0,500.0,63.0,23.2,1000.0,18.7,0.0,NW,1.0,Changping,GOOD
20694,20695,2015,7,11,6,63.0,63.0,2.0,30.0,500.0,48.0,23.2,1000.4,19.1,0.0,NW,1.4,Changping,GOOD
20695,20696,2015,7,11,7,65.0,65.0,2.0,27.0,500.0,47.0,24.0,1000.7,18.9,0.0,NW,1.1,Changping,GOOD
20696,20697,2015,7,11,8,62.0,73.0,5.0,22.0,600.0,64.0,25.5,1001.0,19.4,0.0,NW,1.2,Changping,GOOD
20697,20698,2015,7,11,9,95.0,119.0,11.0,17.0,700.0,93.0,27.4,1000.8,19.2,0.0,E,0.9,Changping,LIGHTLY_POLLUTED
20698,20699,2015,7,11,10,102.0,115.0,14.0,16.0,800.0,108.0,28.3,1000.4,19.8,0.0,SSE,1.5,Changping,LIGHTLY_POLLUTED
20699,20700,2015,7,11,11,107.0,144.0,16.0,14.0,1000.0,139.0,29.5,999.8,20.1,0.0,SE,1.5,Changping,LIGHTLY_POLLUTED
20700,20701,2015,7,11,12,126.0,132.0,17.0,20.0,1200.0,179.0,31.0,999.0,20.0,0.0,SE,1.8,Changping,LIGHTLY_POLLUTED
20701,20702,2015,7,11,13,122.0,126.0,14.0,17.0,1100.0,226.0,32.3,997.9,20.2,0.0,ESE,2.0,Changping,LIGHTLY_POLLUTED
20702,20703,2015,7,11,14,150.0,157.0,15.0,23.0,1500.0,278.0,33.2,996.9,20.0,0.0,SE,2.1,Changping,LIGHTLY_POLLUTED
20703,20704,2015,7,11,15,141.0,141.0,13.0,24.0,1400.0,312.0,34.0,996.1,18.1,0.0,SSE,3.1,Changping,LIGHTLY_POLLUTED
20704,20705,2015,7,11,16,122.0,122.0,9.0,13.0,800.0,272.0,34.3,995.5,17.1,0.0,SE,2.7,Changping,LIGHTLY_POLLUTED
20705,20706,2015,7,11,17,107.0,127.0,7.0,12.0,700.0,238.0,33.9,994.9,17.2,0.0,SSE,2.6,Changping,LIGHTLY_POLLUTED
20706,20707,2015,7,11,18,121.0,121.0,8.0,13.0,700.0,235.0,33.5,994.9,17.6,0.0,S,2.6,Changping,LIGHTLY_POLLUTED
20707,20708,2015,7,11,19,121.0,144.0,9.0,19.0,700.0,222.0,32.7,995.1,17.7,0.0,SSE,2.2,Changping,LIGHTLY_POLLUTED
20708,20709,2015,7,11,20,122.0,154.0,10.0,22.0,800.0,213.0,32.0,995.5,17.9,0.0,SSE,1.7,Changping,LIGHTLY_POLLUTED
20709,20710,2015,7,11,21,118.0,166.0,8.0,31.0,800.0,176.0,31.2,996.2,18.2,0.0,SE,1.1,Changping,LIGHTLY_POLLUTED
20710,20711,2015,7,11,22,118.0,142.0,6.0,41.0,800.0,138.0,28.7,996.1,17.9,0.0,N,1.3,Changping,LIGHTLY_POLLUTED
20711,20712,2015,7,11,23,114.0,135.0,5.0,32.0,800.0,129.0,28.3,995.9,17.8,0.0,NE,0.8,Changping,LIGHTLY_POLLUTED
20712,20713,2015,7,12,0,117.0,117.0,4.0,18.0,700.0,142.0,27.2,995.4,17.9,0.0,N,0.4,Changping,LIGHTLY_POLLUTED
20713,20714,2015,7,12,1,113.0,128.0,4.0,20.0,700.0,114.0,26.5,995.4,18.4,0.0,NNW,1.1,Changping,LIGHTLY_POLLUTED
20714,20715,2015,7,12,2,107.0,116.0,3.0,21.0,600.0,96.0,25.5,995.3,18.2,0.0,NNW,1.4,Changping,LIGHTLY_POLLUTED
20715,20716,2015,7,12,3,105.0,112.0,2.0,27.0,600.0,86.0,25.3,995.1,18.2,0.0,NW,0.9,Changping,LIGHTLY_POLLUTED
20716,20717,2015,7,12,4,109.0,109.0,2.0,44.0,700.0,79.0,24.2,994.8,18.6,0.0,NNW,1.0,Changping,LIGHTLY_POLLUTED
20717,20718,2015,7,12,5,108.0,113.0,3.0,117.0,800.0,19.0,23.6,994.4,18.3,0.0,N,0.8,Changping,LIGHTLY_POLLUTED
20718,20719,2015,7,12,6,108.0,116.0,2.0,35.0,700.0,73.0,24.2,994.3,18.4,0.0,N,0.8,Changping,LIGHTLY_POLLUTED
20719,20720,2015,7,12,7,109.0,143.0,3.0,63.0,800.0,50.0,25.4,994.2,18.6,0.0,NNW,0.5,Changping,LIGHTLY_POLLUTED
20720,20721,2015,7,12,8,115.0,128.0,5.0,88.0,800.0,45.0,27.6,993.6,18.9,0.0,NNE,0.5,Changping,LIGHTLY_POLLUTED
20721,20722,2015,7,12,9,128.0,133.0,6.0,59.0,800.0,98.0,29.3,992.9,19.0,0.0,SW,0.8,Changping,LIGHTLY_POLLUTED
20722,20723,2015,7,12,10,112.0,137.0,6.0,33.0,700.0,152.0,31.6,992.0,19.6,0.0,SW,1.7,Changping,LIGHTLY_POLLUTED
20723,20724,2015,7,12,11,107.0,158.0,6.0,31.0,800.0,191.0,33.3,991.3,19.4,0.0,S,1.8,Changping,LIGHTLY_POLLUTED
20724,20725,2015,7,12,12,117.0,139.0,6.0,24.0,700.0,237.0,34.9,990.1,20.1,0.0,S,2.0,Changping,LIGHTLY_POLLUTED
20725,20726,2015,7,12,13,103.0,132.0,6.0,18.0,700.0,269.0,36.3,988.9,19.7,0.0,S,1.9,Changping,LIGHTLY_POLLUTED
20726,20727,2015,7,12,14,109.0,110.0,5.0,12.0,700.0,281.0,37.2,987.7,18.7,0.0,SE,2.3,Changping,LIGHTLY_POLLUTED
20727,20728,2015,7,12,15,92.0,94.0,5.0,10.0,700.0,277.0,38.2,987.0,17.6,0.0,SE,1.8,Changping,LIGHTLY_POLLUTED
20728,20729,2015,7,12,16,79.0,79.0,5.0,10.0,600.0,279.0,38.5,986.4,16.8,0.0,SE,1.5,Changping,LIGHTLY_POLLUTED
20729,20730,2015,7,12,17,82.0,223.0,4.0,13.0,600.0,266.0,30.7,987.2,17.8,0.0,E,5.1,Changping,LIGHTLY_POLLUTED
20730,20731,2015,7,12,18,52.0,52.0,2.0,17.0,500.0,165.0,32.3,987.9,18.1,0.0,W,2.1,Changping,GOOD
20731,20732,2015,7,12,19,45.0,70.0,2.0,30.0,500.0,145.0,31.4,988.2,17.3,0.0,SE,2.3,Changping,GOOD
20732,20733,2015,7,12,20,48.0,98.0,2.0,19.0,500.0,148.0,31.3,988.2,17.9,0.0,NNW,1.3,Changping,GOOD
20733,20734,2015,7,12,21,57.0,69.0,2.0,51.0,600.0,102.0,29.6,988.5,18.7,0.0,NW,1.3,Changping,GOOD
20734,20735,2015,7,12,22,68.0,109.0,2.0,82.0,700.0,65.0,29.2,988.5,17.7,0.0,N,0.9,Changping,GOOD
20735,20736,2015,7,12,23,66.0,66.0,2.0,31.0,500.0,99.0,28.1,988.5,16.7,0.0,NE,0.6,Changping,GOOD
20736,20737,2015,7,13,0,59.0,101.0,2.0,34.0,600.0,80.0,27.8,988.5,17.3,0.0,E,0.9,Changping,GOOD
20737,20738,2015,7,13,1,62.0,62.0,2.0,27.0,500.0,102.0,26.6,988.5,16.2,0.0,NNW,1.1,Changping,GOOD
20738,20739,2015,7,13,2,61.0,63.0,2.0,21.0,500.0,114.0,26.2,988.2,16.4,0.0,N,1.0,Changping,GOOD
20739,20740,2015,7,13,3,65.0,74.0,2.0,27.0,500.0,115.0,25.1,988.5,16.5,0.0,NNW,1.9,Changping,GOOD
20740,20741,2015,7,13,4,70.0,99.0,2.0,47.0,600.0,86.0,25.0,988.7,16.2,0.0,NW,1.3,Changping,GOOD
20741,20742,2015,7,13,5,67.0,71.0,2.0,82.0,600.0,62.0,24.8,988.9,16.5,0.0,NW,0.9,Changping,GOOD
20742,20743,2015,7,13,6,55.0,76.0,2.0,32.0,500.0,105.0,25.6,989.5,16.4,0.0,NNW,1.4,Changping,GOOD
20743,20744,2015,7,13,7,68.0,139.0,2.0,33.0,600.0,82.0,27.9,990.0,16.8,0.0,SSE,0.6,Changping,GOOD
20744,20745,2015,7,13,8,62.0,106.0,2.0,64.0,700.0,62.0,30.1,990.4,17.2,0.0,WSW,0.3,Changping,GOOD
20745,20746,2015,7,13,9,64.0,91.0,3.0,91.0,800.0,79.0,32.1,990.4,17.9,0.0,SSW,1.2,Changping,GOOD
20746,20747,2015,7,13,10,67.0,135.0,4.0,92.0,700.0,113.0,33.6,990.4,17.7,0.0,S,1.9,Changping,LIGHTLY_POLLUTED
20747,20748,2015,7,13,11,68.0,68.0,3.0,19.0,400.0,178.0,35.4,990.2,14.7,0.0,SE,2.4,Changping,GOOD
20748,20749,2015,7,13,12,39.0,39.0,2.0,5.0,200.0,176.0,36.3,989.4,13.1,0.0,E,2.4,Changping,GOOD
20749,20750,2015,7,13,13,23.0,23.0,2.0,3.0,200.0,172.0,37.9,988.6,12.5,0.0,S,2.3,Changping,GOOD
20750,20751,2015,7,13,14,23.0,23.0,2.0,4.0,200.0,148.0,38.2,987.9,12.0,0.0,SSE,2.7,Changping,GOOD
20751,20752,2015,7,13,15,22.0,78.0,2.0,4.0,200.0,196.0,38.9,987.4,12.6,0.0,SSE,2.3,Changping,GOOD
20752,20753,2015,7,13,16,31.0,64.0,2.0,7.0,300.0,223.0,39.2,986.8,12.9,0.0,SSW,2.8,Changping,GOOD
20753,20754,2015,7,13,17,33.0,69.0,2.0,10.0,300.0,259.0,38.3,987.0,15.4,0.0,S,4.3,Changping,GOOD
20754,20755,2015,7,13,18,36.0,87.0,2.0,16.0,400.0,260.0,37.1,987.4,15.0,0.0,S,2.6,Changping,LIGHTLY_POLLUTED
20755,20756,2015,7,13,19,35.0,77.0,2.0,18.0,400.0,222.0,35.9,988.0,15.6,0.0,SSE,1.7,Changping,GOOD
20756,20757,2015,7,13,20,39.0,81.0,3.0,25.0,500.0,199.0,34.6,988.6,15.0,0.0,ESE,1.0,Changping,LIGHTLY_POLLUTED
20757,20758,2015,7,13,21,61.0,104.0,2.0,26.0,500.0,162.0,34.0,989.5,15.5,0.0,E,1.6,Changping,LIGHTLY_POLLUTED
20758,20759,2015,7,13,22,55.0,102.0,3.0,30.0,600.0,150.0,33.4,990.1,15.9,0.0,E,1.7,Changping,LIGHTLY_POLLUTED
20759,20760,2015,7,13,23,56.0,113.0,3.0,25.0,600.0,147.0,32.8,990.7,16.6,0.0,SSE,1.0,Changping,LIGHTLY_POLLUTED
20760,20761,2015,7,14,0,59.0,118.0,3.0,36.0,700.0,114.0,31.1,991.4,16.3,0.0,N,1.1,Changping,GOOD
20761,20762,2015,7,14,1,72.0,202.0,2.0,15.0,400.0,130.0,22.2,995.7,19.9,23.7,S,6.5,Changping,LIGHTLY_POLLUTED
20762,20763,2015,7,14,2,18.0,108.0,2.0,5.0,300.0,134.0,21.8,995.7,20.3,7.7,W,2.0,Changping,GOOD
20763,20764,2015,7,14,3,27.0,37.0,2.0,20.0,400.0,108.0,22.2,995.0,20.5,0.2,NW,1.8,Changping,EXCELLENT
20764,20765,2015,7,14,4,35.0,35.0,2.0,24.0,400.0,95.0,22.9,994.5,20.1,0.0,W,1.9,Changping,GOOD
20765,20766,2015,7,14,5,31.0,36.0,2.0,49.0,400.0,52.0,22.8,994.8,19.6,0.0,N,1.2,Changping,EXCELLENT
20766,20767,2015,7,14,6,28.0,60.0,2.0,42.0,400.0,43.0,23.2,994.8,18.9,0.0,NNW,1.1,Changping,GOOD
20767,20768,2015,7,14,7,28.0,40.0,2.0,25.0,400.0,53.0,24.2,995.1,19.3,0.0,N,1.5,Changping,EXCELLENT
20768,20769,2015,7,14,8,25.0,45.0,2.0,31.0,400.0,61.0,26.9,995.6,17.4,0.0,N,1.3,Changping,EXCELLENT
20769,20770,2015,7,14,9,25.0,38.0,2.0,25.0,300.0,87.0,29.4,995.4,17.9,0.0,SSE,0.6,Changping,EXCELLENT
20770,20771,2015,7,14,10,33.0,67.0,2.0,32.0,400.0,100.0,29.6,995.9,20.5,0.0,ESE,2.4,Changping,GOOD
20771,20772,2015,7,14,11,38.0,48.0,2.0,12.0,300.0,139.0,30.6,995.6,18.0,0.0,ESE,2.0,Changping,GOOD
20772,20773,2015,7,14,12,27.0,32.0,2.0,6.0,200.0,174.0,32.4,995.3,17.8,0.0,SSE,2.4,Changping,GOOD
20773,20774,2015,7,14,13,30.0,34.0,2.0,6.0,300.0,209.0,33.4,994.3,18.0,0.0,SE,2.5,Changping,GOOD
20774,20775,2015,7,14,14,34.0,50.0,3.0,12.0,500.0,229.0,34.8,993.4,15.7,0.0,SSE,3.4,Changping,GOOD
20775,20776,2015,7,14,15,38.0,60.0,6.0,9.0,500.0,217.0,34.8,992.6,15.7,0.0,SSE,3.1,Changping,GOOD
20776,20777,2015,7,14,16,41.0,68.0,7.0,8.0,500.0,208.0,33.8,993.4,15.7,0.0,S,2.6,Changping,GOOD
20777,20778,2015,7,14,17,44.0,88.0,9.0,20.0,600.0,207.0,31.2,995.2,15.2,0.0,WNW,8.3,Changping,LIGHTLY_POLLUTED
20778,20779,2015,7,14,18,33.0,96.0,2.0,11.0,300.0,145.0,30.2,994.4,13.9,0.0,WSW,3.6,Changping,GOOD
20779,20780,2015,7,14,19,29.0,35.0,2.0,15.0,300.0,134.0,29.3,994.3,14.7,0.0,NNW,1.3,Changping,GOOD
20780,20781,2015,7,14,20,31.0,38.0,2.0,12.0,300.0,135.0,28.4,994.7,14.2,0.0,NW,2.2,Changping,GOOD
20781,20782,2015,7,14,21,27.0,46.0,2.0,12.0,300.0,129.0,27.7,996.4,14.3,0.0,NW,1.5,Changping,GOOD
20782,20783,2015,7,14,22,19.0,29.0,2.0,9.0,200.0,129.0,26.7,996.6,14.5,0.0,NNW,1.6,Changping,GOOD
20783,20784,2015,7,14,23,21.0,27.0,2.0,10.0,200.0,125.0,26.4,996.8,14.5,0.0,WNW,1.8,Changping,GOOD
20784,20785,2015,7,15,0,17.0,30.0,2.0,19.0,200.0,106.0,25.4,996.7,15.4,0.0,NW,1.3,Changping,EXCELLENT
20785,20786,2015,7,15,1,23.0,26.0,2.0,14.0,200.0,109.0,25.4,996.2,14.5,0.0,WSW,1.0,Changping,EXCELLENT
20786,20787,2015,7,15,2,24.0,30.0,2.0,35.0,300.0,86.0,25.1,996.3,15.1,0.0,NW,0.8,Changping,EXCELLENT
20787,20788,2015,7,15,3,26.0,35.0,2.0,87.0,300.0,31.0,25.0,995.9,14.8,0.0,NNW,2.0,Changping,EXCELLENT
20788,20789,2015,7,15,4,19.0,31.0,2.0,19.0,300.0,96.0,24.5,995.8,15.1,0.0,NW,1.3,Changping,EXCELLENT
20789,20790,2015,7,15,5,18.0,32.0,2.0,20.0,300.0,83.0,24.6,996.0,15.0,0.0,ENE,0.9,Changping,EXCELLENT
20790,20791,2015,7,15,6,18.0,32.0,2.0,11.0,300.0,94.0,24.1,996.1,15.3,0.0,NNE,1.3,Changping,EXCELLENT
20791,20792,2015,7,15,7,21.0,48.0,2.0,34.0,300.0,70.0,24.9,996.5,16.1,0.0,N,1.4,Changping,EXCELLENT
20792,20793,2015,7,15,8,26.0,50.0,2.0,40.0,300.0,61.0,26.3,996.5,15.7,0.0,N,1.5,Changping,GOOD
20793,20794,2015,7,15,9,27.0,56.0,2.0,26.0,400.0,71.0,26.7,996.7,16.6,0.0,N,1.0,Changping,GOOD
20794,20795,2015,7,15,10,30.0,77.0,2.0,60.0,500.0,32.0,27.3,997.1,16.6,0.0,NNW,0.7,Changping,GOOD
20795,20796,2015,7,15,11,34.0,62.0,2.0,39.0,400.0,48.0,27.3,997.6,17.2,0.0,NNW,1.4,Changping,EXCELLENT
20796,20797,2015,7,15,12,27.0,50.0,2.0,28.0,400.0,66.0,27.5,997.9,16.8,0.0,NE,1.3,Changping,EXCELLENT
20797,20798,2015,7,15,13,35.0,53.0,4.0,26.0,400.0,80.0,28.4,998.0,17.9,0.0,W,1.1,Changping,GOOD
20798,20799,2015,7,15,14,42.0,109.0,2.0,59.0,600.0,45.0,27.3,998.0,19.9,0.0,WNW,1.5,Changping,GOOD
20799,20800,2015,7,15,15,43.0,91.0,3.0,45.0,600.0,80.0,27.1,997.2,19.2,0.0,N,1.9,Changping,GOOD
20800,20801,2015,7,15,16,44.0,53.0,4.0,21.0,500.0,109.0,28.0,997.1,19.2,0.0,NW,1.5,Changping,GOOD
20801,20802,2015,7,15,17,49.0,57.0,6.0,24.0,600.0,94.0,28.1,996.8,18.5,0.0,N,1.5,Changping,GOOD
20802,20803,2015,7,15,18,46.0,54.0,5.0,19.0,600.0,101.0,27.6,996.8,17.7,0.0,N,1.4,Changping,GOOD
20803,20804,2015,7,15,19,44.0,51.0,6.0,13.0,500.0,131.0,27.5,997.2,17.1,0.0,NNE,2.1,Changping,GOOD
20804,20805,2015,7,15,20,30.0,45.0,3.0,11.0,400.0,139.0,26.8,997.9,17.3,0.0,NNW,1.9,Changping,GOOD
20805,20806,2015,7,15,21,32.0,41.0,2.0,10.0,400.0,128.0,25.9,998.2,17.5,0.0,NNW,1.2,Changping,GOOD
20806,20807,2015,7,15,22,39.0,47.0,2.0,23.0,400.0,103.0,25.2,998.4,17.9,0.1,NW,0.8,Changping,GOOD
20807,20808,2015,7,15,23,39.0,55.0,2.0,36.0,500.0,71.0,24.1,998.9,19.2,0.4,WNW,0.8,Changping,GOOD
20808,20809,2015,7,16,0,45.0,67.0,2.0,27.0,500.0,59.0,22.8,999.0,20.0,0.9,E,2.5,Changping,GOOD
20809,20810,2015,7,16,1,48.0,48.0,2.0,2.0,500.0,123.0,21.9,998.4,19.1,0.6,N,2.4,Changping,GOOD
20810,20811,2015,7,16,2,44.0,44.0,2.0,2.0,400.0,88.0,21.7,999.0,18.5,0.1,NNE,2.0,Changping,GOOD
20811,20812,2015,7,16,3,49.0,49.0,2.0,10.0,500.0,85.0,20.8,999.3,19.3,4.4,NNW,2.5,Changping,GOOD
20812,20813,2015,7,16,4,51.0,51.0,2.0,7.0,500.0,82.0,20.5,998.1,19.2,0.5,NW,1.3,Changping,GOOD
20813,20814,2015,7,16,5,53.0,53.0,2.0,2.0,400.0,87.0,21.8,999.8,18.2,0.0,NE,2.7,Changping,GOOD
20814,20815,2015,7,16,6,57.0,57.0,2.0,2.0,500.0,112.0,21.0,999.6,18.4,0.6,NNE,2.1,Changping,GOOD
20815,20816,2015,7,16,7,36.0,36.0,2.0,6.0,600.0,107.0,20.3,999.9,18.8,4.3,NW,2.6,Changping,GOOD
20816,20817,2015,7,16,8,31.0,31.0,2.0,21.0,700.0,94.0,20.8,999.6,18.4,0.2,N,0.9,Changping,EXCELLENT
20817,20818,2015,7,16,9,30.0,30.0,2.0,16.0,600.0,89.0,21.6,999.8,19.0,0.1,SSW,0.9,Changping,EXCELLENT
20818,20819,2015,7,16,10,34.0,34.0,2.0,21.0,600.0,79.0,22.7,999.6,18.5,0.0,NE,2.0,Changping,EXCELLENT
20819,20820,2015,7,16,11,32.0,32.0,2.0,13.0,500.0,93.0,22.5,999.8,19.5,0.4,WNW,1.3,Changping,EXCELLENT
20820,20821,2015,7,16,12,34.0,42.0,2.0,31.0,700.0,52.0,22.1,1000.1,20.0,2.1,WNW,0.4,Changping,EXCELLENT
20821,20822,2015,7,16,13,39.0,39.0,2.0,33.0,700.0,60.0,21.5,999.4,19.6,1.9,NW,1.7,Changping,EXCELLENT
20822,20823,2015,7,16,14,30.0,30.0,2.0,21.0,500.0,69.0,22.0,999.2,20.1,0.8,NNW,1.4,Changping,EXCELLENT
20823,20824,2015,7,16,15,25.0,25.0,2.0,19.0,500.0,73.0,22.0,998.9,19.4,0.0,NNW,1.1,Changping,EXCELLENT
20824,20825,2015,7,16,16,28.0,28.0,2.0,48.0,600.0,40.0,22.2,998.4,19.6,0.1,W,1.2,Changping,EXCELLENT
20825,20826,2015,7,16,17,29.0,29.0,2.0,66.0,600.0,25.0,23.0,997.9,19.4,0.0,WNW,1.1,Changping,EXCELLENT
20826,20827,2015,7,16,18,26.0,40.0,2.0,55.0,700.0,24.0,23.5,997.7,19.2,0.0,NW,1.3,Changping,EXCELLENT
